Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,Salary,,,Max Salary,Multipler
21,Dyson Daniels,21,ATL,SG,76,76,2571,0.545,18.2,1.3,3.7,5,0.093,-1.1,2.6,1.5,2.3,0.488,0.488099446,29.17674229,"27,115,456",,,,
17,Zach LaVine,29,CHI,SF,42,42,1432,0.637,26.6,2,1,3,0.101,2.7,-1,1.6,1.3,0.476,0.485900255,29.04089118,"26,989,202",,,,
158,Donte DiVincenzo,28,MIN,SG,62,10,1606,0.582,19.4,1.6,2.2,3.9,0.115,0.8,1.1,1.9,1.6,0.598,0.478006031,28.90504008,"26,862,949",,,,
185,Aaron Gordon,29,DEN,PF,51,42,1447,0.65,19,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,0.61,0.476838666,28.76918897,"26,736,695",,,,
52,De'Aaron Fox,27,SAC,PG,45,45,1663,0.567,29.1,2.2,1.3,3.5,0.101,2,-0.8,1.2,1.3,0.488,0.474923853,28.63333786,"26,610,442",,,,
140,Walker Kessler,23,UTA,C,58,58,1740,0.66,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7,0.207,0.473695781,28.49748675,"26,484,188",,,,
159,Isaiah Joe,25,OKC,SG,74,16,1604,0.617,17.2,2.9,2.2,5.1,0.153,1.4,-0.1,1.3,1.4,0.829,0.472018599,28.36163565,"26,357,935",,,,
321,Jay Huff,26,MEM,C,64,2,748,0.666,19.6,1.6,1,2.5,0.162,2.5,1,3.5,1.1,0.585,0.469825805,28.22578454,"26,231,681",,,,
358,Moritz Wagner,27,ORL,C,30,1,564,0.649,26.8,1,1,2,0.174,2.6,1.4,4,0.9,0.5,0.46205566,28.08993343,"26,105,428",,,,
118,Andrew Wiggins,29,2TM,SF,60,60,1842,0.566,24.5,1.9,2.1,4,0.104,1.2,-0.3,0.9,1.4,,0.448857339,27.95408233,"25,979,174",,,,
291,Chet Holmgren,22,OKC,C,32,32,877,0.599,22,1.1,2,3.2,0.173,0.5,1.9,2.4,1,0.829,0.44518653,27.81823122,"25,852,921",,,,
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,0.617,20.2,4.6,1.8,6.4,0.118,1.6,-1.7,-0.1,1.2,0.61,0.443854727,27.68238011,"25,726,668",,,,
26,Brook Lopez,36,MIL,C,80,80,2546,0.624,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8,0.585,0.440323194,27.546529,"25,600,414",,,,
282,Immanuel Quickley,25,TOR,PG,33,33,918,0.57,25.1,1.8,0.6,2.5,0.128,3.2,-1,2.2,1,0.366,0.43512147,27.4106779,"25,474,161",,,,
299,Dereck Lively II,20,DAL,C,36,29,833,0.704,13.6,2.4,1,3.4,0.199,1.1,2.2,3.3,1.1,0.476,0.433051491,27.27482679,"25,347,907",,,,
116,Trey Murphy III,24,NOP,SF,53,51,1854,0.598,23.7,3,0.5,3.5,0.091,2.1,-1.4,0.8,1.3,0.256,0.431373651,27.13897568,"25,221,654",,,,
52,De'Aaron Fox,27,2TM,PG,62,62,2241,0.56,28.3,2.6,1.7,4.3,0.093,1.3,-1,0.4,1.3,,0.428384137,27.00312458,"25,095,400",,,,
294,Chris Boucher,32,TOR,PF,50,0,862,0.615,21.2,1.7,1,2.7,0.148,2.9,-0.6,2.3,0.9,0.366,0.414151801,26.86727347,"24,969,147",,,,
174,Jonas Valančiūnas,32,2TM,C,81,21,1524,0.602,22.8,2.6,1.7,4.3,0.137,0.8,-0.1,0.6,1,,0.402583283,26.73142236,"24,842,893",,,,
98,Keon Ellis,25,SAC,SG,80,28,1948,0.664,12.7,2.7,2.2,5,0.122,-0.1,2,1.9,1.9,0.488,0.395916818,26.59557125,"24,716,640",,,,
141,De'Andre Hunter,27,2TM,SF,64,9,1740,0.623,22.8,3,1.4,4.4,0.122,1.2,-0.8,0.4,1,,0.390538897,26.45972015,"24,590,386",,,,
210,Ausar Thompson,22,DET,SF,59,48,1328,0.568,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2,0.537,0.38398034,26.32386904,"24,464,133",,,,
67,Jaylen Brown,28,BOS,SF,63,63,2158,0.555,28.9,2.3,2.9,5.2,0.115,0.4,-0.4,0,1.1,0.744,0.373975944,26.18801793,"24,337,880",,,,
192,T.J. McConnell,32,IND,PG,79,1,1415,0.547,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2,0.61,0.372607392,26.05216683,"24,211,626",,,,
74,Fred VanVleet,30,HOU,PG,60,60,2111,0.515,17.7,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5,0.634,0.370301258,25.91631572,"24,085,373",,,,
118,Andrew Wiggins,29,GSW,SF,43,43,1296,0.566,23.5,1.7,1.5,3.2,0.119,1.4,-0.4,1,1,0.585,0.355898837,25.78046461,"23,959,119",,,,
161,Caris LeVert,30,2TM,SG,64,3,1596,0.582,19.4,2.4,1.6,4,0.119,0.8,0.1,0.9,1.2,,0.348424518,25.6446135,"23,832,866",,,,
330,Sandro Mamukelashvili,25,SAS,PF,61,0,681,0.628,20.8,1.6,0.6,2.2,0.152,3.3,-1,2.3,0.7,0.415,0.345824721,25.5087624,"23,706,612",,,,
216,Jalen Johnson,23,ATL,SF,36,36,1284,0.569,22.5,0.8,1.6,2.4,0.089,0.5,1.4,1.8,1.2,0.488,0.339651662,25.37291129,"23,580,359",,,,
356,Joel Embiid,30,PHI,C,19,19,574,0.58,34.2,0.9,0.5,1.4,0.118,3.7,-0.3,3.5,0.8,0.293,0.339018433,25.23706018,"23,454,105",,,,
136,Mike Conley,37,MIN,PG,71,64,1756,0.573,14.4,3,2.2,5.2,0.142,-0.1,1.3,1.2,1.4,0.598,0.322900941,25.10120907,"23,327,852",,,,
43,Anfernee Simons,25,POR,SG,70,70,2292,0.557,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1,0.439,0.316059626,24.96535797,"23,201,598",,,,
180,Kevin Porter Jr.,24,MIL,SG,30,2,598,0.616,24.8,1.1,0.9,2,0.163,0.9,1.2,2.1,0.6,0.585,0.312387923,24.82950686,"23,075,345",,,,
62,Myles Turner,28,IND,C,72,72,2174,0.612,20.7,1.8,2.9,4.7,0.104,0,0.4,0.4,1.3,0.61,0.311622539,24.69365575,"22,949,091",,,,
42,Chris Paul,39,SAS,PG,82,82,2292,0.58,14,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6,0.415,0.307145308,24.55780465,"22,822,838",,,,
232,John Collins,27,UTA,PF,40,31,1220,0.628,24.2,1.7,0.8,2.5,0.098,1.4,-0.4,1,0.9,0.207,0.294225437,24.42195354,"22,696,585",,,,
90,Quentin Grimes,24,2TM,SG,75,37,2013,0.595,22.8,2,1.4,3.4,0.081,1.3,-0.9,0.4,1.2,,0.292672321,24.28610243,"22,570,331",,,,
277,Jalen Smith,24,CHI,C,64,2,962,0.586,21,1.7,1.3,2.9,0.146,1.5,-0.6,0.9,0.7,0.476,0.285456709,24.15025132,"22,444,078",,,,
275,Trayce Jackson-Davis,24,GSW,C,62,37,967,0.587,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,0.585,0.275307622,24.01440022,"22,317,824",,,,
141,De'Andre Hunter,27,CLE,SF,27,5,676,0.634,20.5,1.4,0.8,2.2,0.157,1.6,0,1.6,0.6,0.78,0.273671607,23.87854911,"22,191,571",,,,
104,Jrue Holiday,34,BOS,PG,62,62,1896,0.565,15.8,2.8,2.4,5.1,0.13,-0.3,1,0.7,1.3,0.744,0.272878227,23.742698,"22,065,317",,,,
55,Harrison Barnes,32,SAS,PF,82,82,2230,0.656,15.7,5,0.5,5.6,0.12,1.7,-1.7,0,1.2,0.415,0.272062943,23.6068469,"21,939,064",,,,
143,Brandin Podziemski,21,GSW,SG,64,33,1716,0.557,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2,0.585,0.270432403,23.47099579,"21,812,810",,,,
296,Khris Middleton,33,MIL,SF,23,7,534,0.627,22,1.1,0.6,1.7,0.15,1.7,0.6,2.2,0.6,0.585,0.269901627,23.33514468,"21,686,557",,,,
235,Brandon Clarke,28,MEM,PF,64,18,1207,0.638,15.3,2.7,1.7,4.4,0.174,0,0.8,0.8,0.9,0.585,0.264896675,23.19929357,"21,560,303",,,,
90,Quentin Grimes,24,PHI,SG,28,25,943,0.592,27.5,1,0.6,1.6,0.083,2.7,-1.5,1.2,0.8,0.293,0.244629405,23.06344247,"21,434,050",,,,
114,RJ Barrett,24,TOR,SF,58,58,1869,0.547,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2,0.366,0.233467461,22.92759136,"21,307,796",,,,
183,Luke Kennard,28,MEM,SG,65,11,1472,0.631,14.5,2.6,1.3,3.9,0.127,0.9,0.2,1.1,1.2,0.585,0.230440113,22.79174025,"21,181,543",,,,
217,Max Strus,28,CLE,SF,50,37,1273,0.607,14.7,2.2,1.3,3.4,0.13,1.1,0.2,1.3,1.1,0.78,0.229591452,22.65588915,"21,055,290",,,,
153,Al Horford,38,BOS,C,60,42,1659,0.563,13.8,2,2.4,4.4,0.129,0.1,1.1,1.2,1.3,0.744,0.224606229,22.52003804,"20,929,036",,,,
