Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
95,Tyrese Maxey,24,PHI,PG,52,52,1960,0.562,29.8,2.9,1,3.8,0.094,3.2,-1.1,2,2,0.293,0.743801812,34.11111111,34111111.11,35147000,,
34,Jamal Murray,27,DEN,PG,67,67,2418,0.584,24,4.6,1.6,6.2,0.123,1.8,-1,0.8,1.7,0.61,0.739389152,33.87962963,33879629.63,36016200,,
96,Norman Powell,31,LAC,SG,60,60,1958,0.615,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8,0.61,0.728572132,33.64814815,33648148.15,19241379,,
71,Scottie Barnes,23,TOR,PF,65,65,2134,0.523,27,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3,0.366,0.71762685,33.41666667,33416666.67,10130980,,
7,Goga Bitadze,26,ATL,PG,76,76,2739,0.567,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7,0.488,0.715972718,33.18518519,33185185.19,9057971,,
82,Onyeka Okongwu,24,ATL,C,74,40,2064,0.634,17.3,4.9,2.3,7.2,0.168,1.2,0.2,1.3,1.7,0.488,0.71101611,32.9537037,32953703.7,14000000,,
60,Naz Reid,25,MIN,C,80,17,2200,0.577,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2,0.598,0.709485047,32.72222222,32722222.22,13986432,,
238,Kawhi Leonard,33,LAC,SF,37,37,1180,0.589,27.7,1.5,1.9,3.5,0.141,2.5,0.6,3.1,1.5,0.61,0.662686457,32.49074074,32490740.74,49205800,,
17,Zach LaVine,29,2TM,SG,74,74,2602,0.639,25.3,3.7,1.4,5.1,0.094,2.3,-1.6,0.7,1.8,,0.6571331,32.25925926,32259259.26,44531940,,
148,Jakob Poeltl,29,TOR,C,57,56,1686,0.641,18.7,3,2.5,5.5,0.158,0.7,1.3,2,1.7,0.366,0.655855366,32.02777778,32027777.78,19500000,,
6,DeMar DeRozan,35,SAC,SF,77,77,2768,0.569,25,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3,0.488,0.640683103,31.7962963,31796296.3,23400000,,
176,Ja Morant,25,MEM,PG,50,50,1519,0.563,32.2,2,1.5,3.5,0.112,3.1,-0.7,2.4,1.7,0.585,0.639449841,31.56481481,31564814.81,36725670,,
178,LaMelo Ball,23,CHO,PG,47,47,1505,0.536,35.9,0.9,1.1,2,0.065,4.1,-0.9,3.2,2,0.232,0.618217265,31.33333333,31333333.33,35147000,,
9,OG Anunoby,27,NYK,PF,74,74,2706,0.591,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,0.622,0.606550222,31.10185185,31101851.85,36637932,,
87,Miles Bridges,26,CHO,PF,64,64,2029,0.541,28,1.3,1.8,3.2,0.075,2.3,-0.5,1.8,2,0.232,0.604743505,30.87037037,30870370.37,27173913,,
266,Alex Caruso,30,OKC,SG,54,3,1041,0.568,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6,0.829,0.570701986,30.63888889,30638888.89,9890000,,
188,Goga Bitadze,25,ORL,C,70,42,1430,0.631,14.3,2.8,3,5.8,0.195,-0.3,2.8,2.5,1.6,0.5,0.565812811,30.40740741,30407407.41,9057971,,
149,Scotty Pippen Jr.,24,MEM,PG,79,21,1683,0.582,19.3,2.4,2.3,4.7,0.133,0,1.8,1.9,1.7,0.585,0.555522603,30.17592593,30175925.93,2087519,,
167,Obi Toppin,26,IND,PF,79,4,1545,0.642,20.1,2.7,1.6,4.3,0.135,1.8,-0.1,1.7,1.4,0.61,0.541052618,29.96732026,29967320.26,12975000,,
139,Aaron Wiggins,26,OKC,SG,76,26,1744,0.596,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,0.829,0.539547835,29.83115468,29831154.68,10514017,,
45,Malik Beasley,28,DET,SG,82,18,2283,0.59,22.5,2.9,1.8,4.7,0.1,2,-1.2,0.8,1.6,0.537,0.537909488,29.69498911,29694989.11,6000000,,
11,Christian Braun,23,DEN,SG,79,77,2675,0.665,15.8,6.2,1.9,8,0.144,0.8,-0.5,0.3,1.6,0.61,0.533933448,29.55882353,29558823.53,3089640,,
10,Jalen Green,22,HOU,SG,82,82,2697,0.544,27.3,1.9,3.2,5.1,0.092,1.1,-0.5,0.5,1.7,0.634,0.523563522,29.42265795,29422657.95,12483048,,
309,Jaylin Williams,22,OKC,PF,47,9,784,0.594,14.6,1.5,1.7,3.3,0.199,1.5,2.7,4.3,1.2,0.829,0.500232531,29.28649237,29286492.37,2019699,,
21,Dyson Daniels,21,ATL,SG,76,76,2571,0.545,18.2,1.3,3.7,5,0.093,-1.1,2.6,1.5,2.3,0.488,0.487772877,29.1503268,29150326.8,6059520,,
17,Zach LaVine,29,CHI,SF,42,42,1432,0.637,26.6,2,1,3,0.101,2.7,-1,1.6,1.3,0.476,0.485551651,29.01416122,29014161.22,44531940,,
158,Donte DiVincenzo,28,MIN,SG,62,10,1606,0.582,19.4,1.6,2.2,3.9,0.115,0.8,1.1,1.9,1.6,0.598,0.477653385,28.87799564,28877995.64,11445000,,
185,Aaron Gordon,29,DEN,PF,51,42,1447,0.65,19,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,0.61,0.476471225,28.74183007,28741830.07,22841455,,
